step_id,review_type,stage,task,required_artifact,status,notes
R0-01,all,identity,Choose review type and lock topic/RQ,run_manifest.json,pending,
R0-02,all,identity,Freeze corpus snapshot,corpus_snapshot.json,pending,
R1-01,all,screening,Finalize inclusion/exclusion criteria,criteria.json,pending,
R1-02,all,screening,Complete per-item screening decisions,screening_decisions.csv,pending,
R1-03,all,screening,Reconcile counts in context,review_context.json,pending,
R2-01,all,coding_readiness,Build full-text/coding queue,fulltext_coding_queue.csv,pending,
R2-02,all,coding_readiness,Document missing full text,fulltext_gaps.csv,pending,
R3-01,all,coding,Validate coding fields against schema,coding_validation_report.json,pending,
R3-02,all,coding,Normalize themes/tags to controlled vocab,coded_evidence.csv,pending,
R4-01,all,writing,Generate themes and section synthesis,review_context.json,pending,
R4-02,all,writing,Generate references and notes,references.json,pending,
R5-01,all,validation,Run output validator,review_validation_report.json,pending,
R5-02,all,validation,Generate traceability matrix,traceability.csv,pending,
R5-03,all,finalize,Publish final HTML,review_final.html,pending,
S-01,systematic,systematic,Attach PRISMA checklist evidence,prisma_checklist_path.txt,pending,
S-02,systematic,systematic,Reconcile PRISMA flow counts,prisma_flow.json,pending,
B-01,bibliographic,bibliographic,Compute bibliometric trend outputs,bibliometric_outputs.json,pending,
L-01,literature,literature,Confirm 3-7 findings themes,literature_theme_map.json,pending,
