section,paragraph_id,claim,evidence_row_id,item_key,footnote_id
Evidence Bases and Data Sources,evidence_bases_and_d_1,"The authors define cyber-attack as state use of computers/IT as primary mechanisms to harm another state's interests, establishing the definitional scope for attribution frameworks (RQ2).",EV-0001,W63DA6Z6,1
Evidence Bases and Data Sources,evidence_bases_and_d_1,The authors operationalize cyber-attacks by classifying them into three general categories to structure analysis and attribution (RQ2).,EV-0002,W63DA6Z6,2
Evidence Bases and Data Sources,evidence_bases_and_d_1,"Direct intrusion attacks are defined as attacker interactions that yield unauthorized access or control of target systems, a category used in the authors' framework (RQ2).",EV-0003,W63DA6Z6,3
Evidence Bases and Data Sources,evidence_bases_and_d_1,"The author uses specific incidents (Estonia DDoS, Stuxnet/Flame, 2012 financial-sector DDoS) as case evidence to infer possible nation-state involvement from intent, targets, and effects (RQ0,RQ1).",EV-0048,N4YNQ2GG,4
Evidence Bases and Data Sources,evidence_bases_and_d_2,"The report notes that attackers iteratively modified server requests to bypass defenses, which is a technical behaviour used as evidence of skilled, adaptive actors (RQ1).",EV-0058,N4YNQ2GG,5
Evidence Bases and Data Sources,evidence_bases_and_d_2,"The Stuxnet case relied on malware forensic identification (VirusBlokAda) and technical analysis indicating a specialized sabotage payload targeting centrifuges, used as concrete technical evidence (RQ0, RQ1).",EV-0059,N4YNQ2GG,6
Evidence Bases and Data Sources,evidence_bases_and_d_2,"The authors state that attribution uses multiple technical and conventional intelligence evidence types such as malware reverse-engineering, source tracking, HUMINT and SIGINT.",EV-0085,KXZITJ9Q,7
Evidence Bases and Data Sources,evidence_bases_and_d_2,"Common technical evidence-gathering techniques include forensics, reverse engineering, source tracking, honeypots and sinkholing.",EV-0086,KXZITJ9Q,8
Evidence Bases and Data Sources,evidence_bases_and_d_3,The authors provide a case-table (Fig. 2) that demonstrates applying the framework to real cyber incidents for policy and corporate decision support (RQ2).,EV-0186,HYLZCIPX,9
Evidence Bases and Data Sources,evidence_bases_and_d_3,"The document identifies storing logs and performing traceback queries as a cyber-attribution technique, indicating logs are used as evidentiary inputs for attribution (RQ0,RQ1).",EV-0140,7SYEI2R6,10
Evidence Bases and Data Sources,evidence_bases_and_d_3,"A 'Linguistic' library is listed among implemented libraries, indicating linguistic features are treated as an evidentiary category (RQ0,RQ1).",EV-0145,7SYEI2R6,11
Evidence Bases and Data Sources,evidence_bases_and_d_3,"An 'IPv4' library is implemented, indicating IP-level evidence is captured as a library component (RQ0).",EV-0151,7SYEI2R6,12
Attribution Methods and Model Operationalization,attribution_methods__1,"Schmitt proposes seven specific criteria that are used to evaluate whether a cyber-attack constitutes a use of force, forming an operational framework for attribution and legal characterization.",EV-0022,W63DA6Z6,13
Attribution Methods and Model Operationalization,attribution_methods__1,"The Tallinn Manual—a consensus expert statement—incorporated Schmitt's criteria, institutionalizing them in a prominent non-binding guidance document.",EV-0026,W63DA6Z6,14
Attribution Methods and Model Operationalization,attribution_methods__1,"The author proposes operationalizing attribution standards by tying the evidentiary burden to the victim state's chosen response, using stricter tests for forceful responses and lower tests for legal/peaceful remedies.",EV-0044,W63DA6Z6,15
Attribution Methods and Model Operationalization,attribution_methods__1,"The report notes that attackers iteratively modified server requests to bypass defenses, which is a technical behaviour used as evidence of skilled, adaptive actors (RQ1).",EV-0058,N4YNQ2GG,16
Attribution Methods and Model Operationalization,attribution_methods__2,"The InCA method integrates argumentation-based reasoning, logic programming, and probabilistic modelling to perform attribution.",EV-0087,KXZITJ9Q,17
Attribution Methods and Model Operationalization,attribution_methods__2,"InCA is implemented as two models: a probabilistic Environmental Model (EM) capturing background evidence, and an Analytical Model (AM) for reasoning about competing hypotheses.",EV-0088,KXZITJ9Q,18
Attribution Methods and Model Operationalization,attribution_methods__2,"Environmental model uncertainty is represented by probabilistic formulas of the form f : p ± ε, giving a probability interval for f.",EV-0089,KXZITJ9Q,19
Attribution Methods and Model Operationalization,attribution_methods__2,"All-source attribution fuses multiple intelligence types to form a holistic judgment using historical TTPs, relevant to RQ0 and RQ1.",EV-0176,HYLZCIPX,20
Attribution Methods and Model Operationalization,attribution_methods__3,"The ODNI Cyber Threat Framework operationalizes adversary behavior into four stages—preparation, engagement, presence, and effects/consequences—directly addressing RQ2.",EV-0179,HYLZCIPX,21
Attribution Methods and Model Operationalization,attribution_methods__3,"Attribution assessment must consider machine-level, perpetrator-level, and higher organizational/country-level indicators, answering RQ1 about analytic method and levels of inference.",EV-0182,HYLZCIPX,22
Attribution Methods and Model Operationalization,attribution_methods__3,"Rid and Buchanan model attribution as minimizing uncertainty across tactical, operational, and strategic levels, providing a three-level framework relevant to RQ2.",EV-0113,DFFJM8XG,23
Attribution Methods and Model Operationalization,attribution_methods__3,"Cyber responses can be executed either overtly or covertly, which affects method choice and operational constraints (RQ1, RQ2).",EV-0116,DFFJM8XG,24
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_1,"The authors assert that any definitive taxonomy of cyber-attacks will be partly artificial and only temporarily accurate, signaling a limitation for fixed frameworks (RQ2).",EV-0006,W63DA6Z6,25
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_1,"Attributing state responsibility for cyber-attacks is identified as a major practical obstacle relevant to evidentiary practice and attribution frameworks (RQ0, RQ2).",EV-0007,W63DA6Z6,26
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_1,"The authors argue that legal and factual ambiguity in cyber-warfare creates a safe environment for attackers, complicating evidence collection and attribution (RQ0, RQ2).",EV-0009,W63DA6Z6,27
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_1,"The author uses specific incidents (Estonia DDoS, Stuxnet/Flame, 2012 financial-sector DDoS) as case evidence to infer possible nation-state involvement from intent, targets, and effects (RQ0,RQ1).",EV-0048,N4YNQ2GG,28
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_2,"The text asserts that attribution in cyberspace is significantly less precise than attributing a launched nuclear weapon, complicating attribution processes (RQ1,RQ2).",EV-0049,N4YNQ2GG,29
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_2,"The author claims that states commonly deny responsibility for hostile cyber actions, which hinders clear attribution and accountability (RQ1,RQ2).",EV-0050,N4YNQ2GG,30
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_2,The author uses decision-theoretic mathematical models combined with legal analysis to predict a state's likelihood of sponsoring a cyber attack before attack-specific technical evidence is available.,EV-0076,MSU2EW6K,31
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_2,The author operationalizes attribution by requiring overlap between permissive contextual conditions and forensic (technical) indicators to identify likely state-sponsored attacks.,EV-0078,MSU2EW6K,32
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_3,"Given the practical limits of post-attack forensics and disclosure reluctance, the author argues the proposed framework can narrow suspect lists even without technical post-attack data.",EV-0080,MSU2EW6K,33
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_3,"The authors state that attribution uses multiple technical and conventional intelligence evidence types such as malware reverse-engineering, source tracking, HUMINT and SIGINT.",EV-0085,KXZITJ9Q,34
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_3,"Common technical evidence-gathering techniques include forensics, reverse engineering, source tracking, honeypots and sinkholing.",EV-0086,KXZITJ9Q,35
"Evidentiary Standards, Confidence, and Legal Thresholds",evidentiary_standard_3,"Environmental model uncertainty is represented by probabilistic formulas of the form f : p ± ε, giving a probability interval for f.",EV-0089,KXZITJ9Q,36
Response Frameworks and Policy Decision-Making,response_frameworks__1,"Proulx proposes a strict-liability model that removes the requirement to prove attribution by holding host states liable regardless, shifting the burden to the host state to disprove liability.",EV-0041,W63DA6Z6,37
Response Frameworks and Policy Decision-Making,response_frameworks__1,"Schmitt recommends an indirect-responsibility model holding states accountable for failing to take reasonable measures to prevent cyber-attacks from their territory, effectively lowering attribution thresholds.",EV-0042,W63DA6Z6,38
Response Frameworks and Policy Decision-Making,response_frameworks__1,The effective-control test set by the ICJ functions to restrict when states may lawfully respond by setting a high attribution standard.,EV-0043,W63DA6Z6,39
Response Frameworks and Policy Decision-Making,response_frameworks__1,The chapter proposes that policymakers should develop a framework of proportionate responses for different types of cyber hostility to guide political decision-making (RQ2).,EV-0099,DFFJM8XG,40
Response Frameworks and Policy Decision-Making,response_frameworks__2,"The author presents a rough policy framework consisting of five variables for policymakers to evaluate and choose appropriate responses to cyber hostilities, indicating an attempt to operationalize a response model (RQ2).",EV-0100,DFFJM8XG,41
Response Frameworks and Policy Decision-Making,response_frameworks__2,"The suggested framework combines incident impact, policy options, and other variables to map response ""levers"" across escalating incident levels, describing how the model is operationalized (RQ1, RQ2).",EV-0101,DFFJM8XG,42
Response Frameworks and Policy Decision-Making,response_frameworks__2,"U.S. policy explicitly reserves the right to respond in cyberspace using diplomatic, informational, military, and economic measures, indicating a policy-level stance on response options (RQ2).",EV-0052,N4YNQ2GG,43
Response Frameworks and Policy Decision-Making,response_frameworks__2,"The Department of Defense frames cyberspace as a distinct military domain and mandates development of full-spectrum military cyber capabilities under U.S. Cyber Command (RQ1,RQ2).",EV-0053,N4YNQ2GG,44
Response Frameworks and Policy Decision-Making,response_frameworks__3,"U.S. officials' assumptions of informal state involvement are presented as an attribution posture, indicating use of intelligence assessments or official interpretation as evidence (RQ0).",EV-0065,N4YNQ2GG,45
